place-0,611.150195463,999.102929717
place-1,665.4568171,931.748799994
place-2,652.398859361,891.53856946
place-3,647.2713199,847.111220144
place-4,544.155121333,997.133020057
place-5,673.326202836,817.30046595
place-6,612.313013789,784.375816276
place-7,744.396560413,964.513277055
place-8,541.433570877,865.286133107
place-9,607.320889546,845.823574103
place-10,611.935755895,909.654097779
place-11,548.973227105,982.395876886
place-12,495.767879819,965.451867403
place-13,618.210341595,972.412053885
place-14,498.099973216,956.531785127
place-15,679.603770007,822.44314449
place-16,705.895891742,955.512854153
place-17,587.935333789,955.514637286
place-18,792.457809263,865.419978947
place-19,756.976312211,979.012526814
place-20,427.612995675,261.464633722
place-21,545.640482732,66.9024308714
place-22,439.213440051,122.081488722
place-23,490.965479389,67.7574383011
place-24,567.839077023,221.232602738
place-25,287.82210691,253.138341633
place-26,262.575216753,226.924790706
place-27,407.333393731,211.020147885
place-28,287.823571118,270.332932612
place-29,480.439458972,224.328675202
place-30,492.88227277,335.420605507
place-31,466.226393142,356.112152295
place-32,509.181109506,289.92691721
place-33,634.219629295,229.554381763
place-34,319.501196519,253.274651985
place-35,291.976133489,190.802131781
place-36,361.25497464,37.5019788601
place-37,270.056290193,411.006828193
place-38,462.384244511,153.100770188
place-39,299.389699726,316.896581711
place-40,255.580521995,890.465717282
place-41,93.9194897863,928.970673076
place-42,463.770030195,963.294467784
place-43,316.308733492,827.909919853
place-44,286.478504268,890.513940425
place-45,199.109166285,871.683295553
place-46,210.688394642,945.31051287
place-47,522.688048474,855.619860975
place-48,601.984390977,895.28923467
place-49,294.987086523,926.456365311
place-50,369.2686714,882.76125313
place-51,276.854541713,813.591496861
place-52,457.767572606,950.273297621
place-53,505.49532226,828.265452039
place-54,392.863611053,929.372093978
place-55,431.158896865,933.061480564
place-56,365.790243106,881.519873232
place-57,398.241363807,969.043245423
place-58,477.096320737,962.063618323
place-59,465.485313968,934.971552367
place-60,567.512214876,890.310246046
place-61,550.887658478,732.669914887
place-62,610.866791706,784.808121498
place-63,631.488211283,688.870308136
place-64,630.70782609,775.248950951
place-65,518.354591137,718.32892828
place-66,521.67149657,916.694972837
place-67,497.581508125,863.881869755
place-68,478.822341917,869.595760499
place-69,640.024988448,776.221379279
place-70,394.532144577,902.370295202
place-71,713.344588041,931.800286907
place-72,601.498785561,712.813902188
place-73,480.893135749,717.357831333
place-74,511.607418457,761.896039056
place-75,486.237324829,758.643438474
place-76,614.208943009,743.812243992
place-77,399.600633175,707.160602078
place-78,597.678685363,601.213603986
place-79,558.159458328,908.363101056
place-80,308.596581876,709.103229642
place-81,272.356736842,677.935421062
place-82,520.94067615,571.850928145
place-83,202.662788927,717.128346833
place-84,373.10947232,647.239050332
place-85,109.74848819,753.465406216
place-86,404.540990603,622.592614372
place-87,110.641714539,738.762580801
place-88,262.25059313,805.894650168
place-89,262.742798321,747.686931835
place-90,171.881386557,570.411346849
place-91,373.636184265,633.081343015
place-92,341.707996126,703.462646683
place-93,214.30398982,607.022918797
place-94,261.917491461,591.441175812
place-95,505.639556388,582.262377953
place-96,84.0808258422,623.106829336
place-97,265.872287162,565.79106988
place-98,314.728534776,756.170059696
place-99,280.33707099,479.994153898
place-100,197.367660204,721.671624666
place-101,149.572562028,601.650049915
place-102,110.254656121,596.360909591
place-103,34.9429216889,684.29722799
place-104,115.988940448,726.829710131
place-105,6.60895139502,586.757593893
place-106,140.414686394,564.433660261
place-107,140.398028644,648.550599903
place-108,114.432988296,709.289472171
place-109,175.37158254,622.406918636
place-110,146.865074491,567.220318549
place-111,78.5828710214,773.165464867
place-112,23.5563203003,625.506493134
place-113,144.429828158,553.230287525
place-114,3.96026708307,723.245890227
place-115,199.593273317,745.985566456
place-116,46.4269870097,581.03494775
place-117,47.0737249047,870.559799498
place-118,62.7372490649,775.79146046
place-119,18.4022750669,680.869853189
place-120,40.150314946,451.878688152
place-121,115.473391925,555.61196723
place-122,63.5518166446,599.884898552
place-123,128.961967988,353.430605402
place-124,113.615181029,414.905035977
place-125,160.717517481,294.176334008
place-126,199.577065562,363.383563402
place-127,191.259940644,361.272760277
place-128,9.0258633695,460.353253739
place-129,42.9579721045,368.393522171
place-130,160.1995081,433.275205002
place-131,234.937691341,265.275013849
place-132,25.6542842948,498.289824789
place-133,170.488407942,477.779943693
place-134,32.7444084023,402.779018579
place-135,86.6285496128,323.881026388
place-136,3.80245485584,546.405917981
place-137,35.2745624454,420.120886882
place-138,57.8041073166,314.694794176
place-139,144.634061037,327.191756025
place-140,33.5880719131,550.657290125
place-141,153.948425028,526.933873317
place-142,46.6080860233,559.178872282
place-143,111.249905385,558.84113127
place-144,117.920092824,553.391633974
place-145,99.4587481392,639.716907874
place-146,3.10480192381,549.541857075
place-147,40.7008689754,449.411317972
place-148,51.8336922855,593.258539492
place-149,105.43862866,290.018366693
place-150,170.337555181,595.923969681
place-151,47.2560315828,711.852891352
place-152,17.1330461253,356.075352774
place-153,66.3275979992,479.622035973
place-154,35.6027241103,572.137865188
place-155,22.4498686481,479.78787949
place-156,1.55918471685,413.339456157
place-157,128.117403466,563.826475318
place-158,8.0875105151,728.854674029
place-159,122.598803603,522.194502768
place-160,320.045090349,632.07025627
place-161,387.8845146,874.189030714
place-162,414.852802082,790.753613079
place-163,345.357357791,596.061121295
place-164,410.366337495,645.930569725
place-165,417.636074539,729.979783282
place-166,496.405444471,666.172821377
place-167,453.288859084,514.859247021
place-168,375.791789269,542.685872721
place-169,560.23228655,705.395019002
place-170,398.630587231,681.086378153
place-171,490.00503319,657.527477098
place-172,477.021599657,751.330509269
place-173,464.041770565,670.265266576
place-174,382.335549043,726.067703845
place-175,455.09536652,691.664852463
place-176,619.360902467,569.80600935
place-177,353.163427665,762.898387313
place-178,358.043134322,608.799410286
place-179,215.963668289,793.568333046
place-180,464.920983073,225.814285511
place-181,295.39839606,129.259007472
place-182,332.596334513,325.701250635
place-183,426.0493864,266.608681573
place-184,511.402255066,223.076167714
place-185,223.950828904,236.523068948
place-186,360.219495634,129.861317803
place-187,500.960633404,257.4429512
place-188,310.011305806,286.92655565
place-189,445.914614931,150.910107843
place-190,339.696689368,78.0253385614
place-191,498.36615365,3.37557046521
place-192,380.073710454,116.604397337
place-193,461.908246772,97.9968451428
place-194,276.073870971,134.363241017
place-195,465.45799631,270.045286133
place-196,392.629693378,21.6346050638
place-197,346.499378823,310.310546123
